id,group,url,size
GERO 2315,GERO,https://planner.langaracs.ca/courses/GERO/2315,1
GERO 1200,GERO,https://planner.langaracs.ca/courses/GERO/1200,1
GERO 1215,GERO,https://planner.langaracs.ca/courses/GERO/1215,1
GERO 1300,GERO,https://planner.langaracs.ca/courses/GERO/1300,2
WMDD 4997,WMDD,https://planner.langaracs.ca/courses/WMDD/4997,0
WMDD 4900,WMDD,https://planner.langaracs.ca/courses/WMDD/4900,4
WMDD 4905,WMDD,https://planner.langaracs.ca/courses/WMDD/4905,1
WMDD 4925,WMDD,https://planner.langaracs.ca/courses/WMDD/4925,2
WMDD 4961,WMDD,https://planner.langaracs.ca/courses/WMDD/4961,2
WMDD 4980,WMDD,https://planner.langaracs.ca/courses/WMDD/4980,3
CPSC 1280,CPSC,https://planner.langaracs.ca/courses/CPSC/1280,5
CPSC 1150,CPSC,https://planner.langaracs.ca/courses/CPSC/1150,5
CPSC 1155,CPSC,https://planner.langaracs.ca/courses/CPSC/1155,5
FINA 2260,FINA,https://planner.langaracs.ca/courses/FINA/2260,0
FINA 2160,FINA,https://planner.langaracs.ca/courses/FINA/2160,2
CPSC 2280,CPSC,https://planner.langaracs.ca/courses/CPSC/2280,0
CPSC 2150,CPSC,https://planner.langaracs.ca/courses/CPSC/2150,2
ANTH 2270,ANTH,https://planner.langaracs.ca/courses/ANTH/2270,0
ANTH 1120,ANTH,https://planner.langaracs.ca/courses/ANTH/1120,5
SOCI 1120,SOCI,https://planner.langaracs.ca/courses/SOCI/1120,5
SOCI 1121,SOCI,https://planner.langaracs.ca/courses/SOCI/1121,5
PHOT 2441,PHOT,https://planner.langaracs.ca/courses/PHOT/2441,1
PHOT 1125,PHOT,https://planner.langaracs.ca/courses/PHOT/1125,5
BINF 3100,BINF,https://planner.langaracs.ca/courses/BINF/3100,1
BINF 2100,BINF,https://planner.langaracs.ca/courses/BINF/2100,1
NURS 4265,NURS,https://planner.langaracs.ca/courses/NURS/4265,0
NURS 3321,NURS,https://planner.langaracs.ca/courses/NURS/3321,2
NURS 4161,NURS,https://planner.langaracs.ca/courses/NURS/4161,1
NURS 4163,NURS,https://planner.langaracs.ca/courses/NURS/4163,1
STAT 1123,STAT,https://planner.langaracs.ca/courses/STAT/1123,5
CHIN 2217,CHIN,https://planner.langaracs.ca/courses/CHIN/2217,0
CHIN 2215,CHIN,https://planner.langaracs.ca/courses/CHIN/2215,1
WMDD 4850,WMDD,https://planner.langaracs.ca/courses/WMDD/4850,1
PHOT 2486,PHOT,https://planner.langaracs.ca/courses/PHOT/2486,0
PHOT 2485,PHOT,https://planner.langaracs.ca/courses/PHOT/2485,1
FMGT 4824,FMGT,https://planner.langaracs.ca/courses/FMGT/4824,3
FMGT 4820,FMGT,https://planner.langaracs.ca/courses/FMGT/4820,3
CPSC 2650,CPSC,https://planner.langaracs.ca/courses/CPSC/2650,0
CPSC 2350,CPSC,https://planner.langaracs.ca/courses/CPSC/2350,1
CPSC 2600,CPSC,https://planner.langaracs.ca/courses/CPSC/2600,1
KINS 1110,KINS,https://planner.langaracs.ca/courses/KINS/1110,0
KINS 1100,KINS,https://planner.langaracs.ca/courses/KINS/1100,3
KINS 1131,KINS,https://planner.langaracs.ca/courses/KINS/1131,2
BUSM 1902,BUSM,https://planner.langaracs.ca/courses/BUSM/1902,1
BUSM 1901,BUSM,https://planner.langaracs.ca/courses/BUSM/1901,2
BUSM 4805,BUSM,https://planner.langaracs.ca/courses/BUSM/4805,5
FMGT 4800,FMGT,https://planner.langaracs.ca/courses/FMGT/4800,5
FMGT 4870,FMGT,https://planner.langaracs.ca/courses/FMGT/4870,1
FINA 2262,FINA,https://planner.langaracs.ca/courses/FINA/2262,0
FINA 2162,FINA,https://planner.langaracs.ca/courses/FINA/2162,2
LIBR 1219,LIBR,https://planner.langaracs.ca/courses/LIBR/1219,1
LIBR 1111,LIBR,https://planner.langaracs.ca/courses/LIBR/1111,5
LIBR 1118,LIBR,https://planner.langaracs.ca/courses/LIBR/1118,3
ENGL 2327,ENGL,https://planner.langaracs.ca/courses/ENGL/2327,0
ENGL 2227,ENGL,https://planner.langaracs.ca/courses/ENGL/2227,1
BUSM 4820,BUSM,https://planner.langaracs.ca/courses/BUSM/4820,3
BUSM 4800,BUSM,https://planner.langaracs.ca/courses/BUSM/4800,1
ECON 2155,ECON,https://planner.langaracs.ca/courses/ECON/2155,0
ECON 1220,ECON,https://planner.langaracs.ca/courses/ECON/1220,5
ECON 1221,ECON,https://planner.langaracs.ca/courses/ECON/1221,5
ECON 2260,ECON,https://planner.langaracs.ca/courses/ECON/2260,0
ECON 2221,ECON,https://planner.langaracs.ca/courses/ECON/2221,0
ECON 2280,ECON,https://planner.langaracs.ca/courses/ECON/2280,0
ECON 2210,ECON,https://planner.langaracs.ca/courses/ECON/2210,0
ENGL 1099,ENGL,https://planner.langaracs.ca/courses/ENGL/1099,0
ENGL 1098,ENGL,https://planner.langaracs.ca/courses/ENGL/1098,1
FLMA 1220,FLMA,https://planner.langaracs.ca/courses/FLMA/1220,0
FLMA 1120,FLMA,https://planner.langaracs.ca/courses/FLMA/1120,1
JOUR 2330,JOUR,https://planner.langaracs.ca/courses/JOUR/2330,1
JOUR 1178,JOUR,https://planner.langaracs.ca/courses/JOUR/1178,2
COOP 4301,COOP,https://planner.langaracs.ca/courses/COOP/4301,0
COOP 3301,COOP,https://planner.langaracs.ca/courses/COOP/3301,2
SSRV 1230,SSRV,https://planner.langaracs.ca/courses/SSRV/1230,1
SSRV 1131,SSRV,https://planner.langaracs.ca/courses/SSRV/1131,3
EXPE 4802,EXPE,https://planner.langaracs.ca/courses/EXPE/4802,4
EXPE 4801,EXPE,https://planner.langaracs.ca/courses/EXPE/4801,5
BINF 1100,BINF,https://planner.langaracs.ca/courses/BINF/1100,1
LIBR 2416,LIBR,https://planner.langaracs.ca/courses/LIBR/2416,2
EDAS 1211,EDAS,https://planner.langaracs.ca/courses/EDAS/1211,1
EDAS 1111,EDAS,https://planner.langaracs.ca/courses/EDAS/1111,1
SSRV 1231,SSRV,https://planner.langaracs.ca/courses/SSRV/1231,0
BUSM 4830,BUSM,https://planner.langaracs.ca/courses/BUSM/4830,0
BUSM 4810,BUSM,https://planner.langaracs.ca/courses/BUSM/4810,3
DANA 4810,DANA,https://planner.langaracs.ca/courses/DANA/4810,3
FINA 2135,FINA,https://planner.langaracs.ca/courses/FINA/2135,1
FINA 1120,FINA,https://planner.langaracs.ca/courses/FINA/1120,4
FINA 1131,FINA,https://planner.langaracs.ca/courses/FINA/1131,1
FINA 1161,FINA,https://planner.langaracs.ca/courses/FINA/1161,5
GERO 1916,GERO,https://planner.langaracs.ca/courses/GERO/1916,0
GERO 1816,GERO,https://planner.langaracs.ca/courses/GERO/1816,1
CPSC 4260,CPSC,https://planner.langaracs.ca/courses/CPSC/4260,0
CPSC 4160,CPSC,https://planner.langaracs.ca/courses/CPSC/4160,1
PSYC 2326,PSYC,https://planner.langaracs.ca/courses/PSYC/2326,0
PSYC 1115,PSYC,https://planner.langaracs.ca/courses/PSYC/1115,5
PSYC 1215,PSYC,https://planner.langaracs.ca/courses/PSYC/1215,5
PSYC 2325,PSYC,https://planner.langaracs.ca/courses/PSYC/2325,0
EDAS 1311,EDAS,https://planner.langaracs.ca/courses/EDAS/1311,0
FINA 2271,FINA,https://planner.langaracs.ca/courses/FINA/2271,0
FINA 2171,FINA,https://planner.langaracs.ca/courses/FINA/2171,2
PHOT 2425,PHOT,https://planner.langaracs.ca/courses/PHOT/2425,1
PHOT 2305,PHOT,https://planner.langaracs.ca/courses/PHOT/2305,3
PHOT 2310,PHOT,https://planner.langaracs.ca/courses/PHOT/2310,3
PHOT 2325,PHOT,https://planner.langaracs.ca/courses/PHOT/2325,2
MARK 4195,MARK,https://planner.langaracs.ca/courses/MARK/4195,0
MARK 1115,MARK,https://planner.langaracs.ca/courses/MARK/1115,5
FMGT 2350,FMGT,https://planner.langaracs.ca/courses/FMGT/2350,0
FMGT 1115,FMGT,https://planner.langaracs.ca/courses/FMGT/1115,5
FMGT 1116,FMGT,https://planner.langaracs.ca/courses/FMGT/1116,5
FMGT 2293,FMGT,https://planner.langaracs.ca/courses/FMGT/2293,5
PHYS 2409,PHYS,https://planner.langaracs.ca/courses/PHYS/2409,0
PHYS 2309,PHYS,https://planner.langaracs.ca/courses/PHYS/2309,1
BUSM 4840,BUSM,https://planner.langaracs.ca/courses/BUSM/4840,0
NURS 5150,NURS,https://planner.langaracs.ca/courses/NURS/5150,3
CPSC 1045,CPSC,https://planner.langaracs.ca/courses/CPSC/1045,5
CPSC 1030,CPSC,https://planner.langaracs.ca/courses/CPSC/1030,3
CPSC 1040,CPSC,https://planner.langaracs.ca/courses/CPSC/1040,5
GERO 1100,GERO,https://planner.langaracs.ca/courses/GERO/1100,5
POLI 2245,POLI,https://planner.langaracs.ca/courses/POLI/2245,0
POLI 1119,POLI,https://planner.langaracs.ca/courses/POLI/1119,5
POLI 1140,POLI,https://planner.langaracs.ca/courses/POLI/1140,4
POLI 1145,POLI,https://planner.langaracs.ca/courses/POLI/1145,4
ENGL 1108,ENGL,https://planner.langaracs.ca/courses/ENGL/1108,5
ENGL 1107,ENGL,https://planner.langaracs.ca/courses/ENGL/1107,5
DANA 4850,DANA,https://planner.langaracs.ca/courses/DANA/4850,0
CPSC 4830,CPSC,https://planner.langaracs.ca/courses/CPSC/4830,1
DANA 4830,DANA,https://planner.langaracs.ca/courses/DANA/4830,1
DANA 4840,DANA,https://planner.langaracs.ca/courses/DANA/4840,1
PSYC 3240,PSYC,https://planner.langaracs.ca/courses/PSYC/3240,0
BUSM 2200,BUSM,https://planner.langaracs.ca/courses/BUSM/2200,5
PSYC 3220,PSYC,https://planner.langaracs.ca/courses/PSYC/3220,0
PSYC 3200,PSYC,https://planner.langaracs.ca/courses/PSYC/3200,0
PSYC 3230,PSYC,https://planner.langaracs.ca/courses/PSYC/3230,0
WMDD 4885,WMDD,https://planner.langaracs.ca/courses/WMDD/4885,1
FINA 2240,FINA,https://planner.langaracs.ca/courses/FINA/2240,0
FINA 2140,FINA,https://planner.langaracs.ca/courses/FINA/2140,2
COOP 2501,COOP,https://planner.langaracs.ca/courses/COOP/2501,4
COOP 2514,COOP,https://planner.langaracs.ca/courses/COOP/2514,0
ECED 1202,ECED,https://planner.langaracs.ca/courses/ECED/1202,0
ECED 1102,ECED,https://planner.langaracs.ca/courses/ECED/1102,2
FINA 2115,FINA,https://planner.langaracs.ca/courses/FINA/2115,1
FINA 1111,FINA,https://planner.langaracs.ca/courses/FINA/1111,2
WMDD 4910,WMDD,https://planner.langaracs.ca/courses/WMDD/4910,0
WMDD 4811,WMDD,https://planner.langaracs.ca/courses/WMDD/4811,3
LIBR 2411,LIBR,https://planner.langaracs.ca/courses/LIBR/2411,1
DSGN 1253,DSGN,https://planner.langaracs.ca/courses/DSGN/1253,1
DSGN 1153,DSGN,https://planner.langaracs.ca/courses/DSGN/1153,4
WMDD 4945,WMDD,https://planner.langaracs.ca/courses/WMDD/4945,0
WMDD 4930,WMDD,https://planner.langaracs.ca/courses/WMDD/4930,3
WMDD 4940,WMDD,https://planner.langaracs.ca/courses/WMDD/4940,0
FMGT 4880,FMGT,https://planner.langaracs.ca/courses/FMGT/4880,1
DASH 2000,DASH,https://planner.langaracs.ca/courses/DASH/2000,1
DASH 1199,DASH,https://planner.langaracs.ca/courses/DASH/1199,2
BIOL 4415,BIOL,https://planner.langaracs.ca/courses/BIOL/4415,0
BIOL 2315,BIOL,https://planner.langaracs.ca/courses/BIOL/2315,2
BIOL 4315,BIOL,https://planner.langaracs.ca/courses/BIOL/4315,1
FLMA 1281,FLMA,https://planner.langaracs.ca/courses/FLMA/1281,0
FLMA 1170,FLMA,https://planner.langaracs.ca/courses/FLMA/1170,5
FLMA 1181,FLMA,https://planner.langaracs.ca/courses/FLMA/1181,1
DSGN 2254,DSGN,https://planner.langaracs.ca/courses/DSGN/2254,0
DSGN 2054,DSGN,https://planner.langaracs.ca/courses/DSGN/2054,2
DSGN 2155,DSGN,https://planner.langaracs.ca/courses/DSGN/2155,4
DSGN 2151,DSGN,https://planner.langaracs.ca/courses/DSGN/2151,5
DSGN 2354,DSGN,https://planner.langaracs.ca/courses/DSGN/2354,0
CHIN 1217,CHIN,https://planner.langaracs.ca/courses/CHIN/1217,1
CHIN 1117,CHIN,https://planner.langaracs.ca/courses/CHIN/1117,1
MATH 1275,MATH,https://planner.langaracs.ca/courses/MATH/1275,5
MATH 1171,MATH,https://planner.langaracs.ca/courses/MATH/1171,5
MATH 1173,MATH,https://planner.langaracs.ca/courses/MATH/1173,5
MATH 1174,MATH,https://planner.langaracs.ca/courses/MATH/1174,5
MATH 1175,MATH,https://planner.langaracs.ca/courses/MATH/1175,5
MATH 1253,MATH,https://planner.langaracs.ca/courses/MATH/1253,5
POLI 1195,POLI,https://planner.langaracs.ca/courses/POLI/1195,3
GERO 2400,GERO,https://planner.langaracs.ca/courses/GERO/2400,0
GERO 1400,GERO,https://planner.langaracs.ca/courses/GERO/1400,1
CHIN 1215,CHIN,https://planner.langaracs.ca/courses/CHIN/1215,1
CHIN 1115,CHIN,https://planner.langaracs.ca/courses/CHIN/1115,1
SOCI 2223,SOCI,https://planner.langaracs.ca/courses/SOCI/2223,0
SOCI 1127,SOCI,https://planner.langaracs.ca/courses/SOCI/1127,5
SOCI 2222,SOCI,https://planner.langaracs.ca/courses/SOCI/2222,0
SOCI 2240,SOCI,https://planner.langaracs.ca/courses/SOCI/2240,0
SOCI 2260,SOCI,https://planner.langaracs.ca/courses/SOCI/2260,0
SOCI 2225,SOCI,https://planner.langaracs.ca/courses/SOCI/2225,0
SOCI 2220,SOCI,https://planner.langaracs.ca/courses/SOCI/2220,0
SOCI 2205,SOCI,https://planner.langaracs.ca/courses/SOCI/2205,0
SOCI 2230,SOCI,https://planner.langaracs.ca/courses/SOCI/2230,0
SOCI 2210,SOCI,https://planner.langaracs.ca/courses/SOCI/2210,0
SOCI 2200,SOCI,https://planner.langaracs.ca/courses/SOCI/2200,0
SOCI 2250,SOCI,https://planner.langaracs.ca/courses/SOCI/2250,0
PHOT 1150,PHOT,https://planner.langaracs.ca/courses/PHOT/1150,0
PHOT 1100,PHOT,https://planner.langaracs.ca/courses/PHOT/1100,3
PHOT 1105,PHOT,https://planner.langaracs.ca/courses/PHOT/1105,5
JOUR 2475,JOUR,https://planner.langaracs.ca/courses/JOUR/2475,0
JOUR 2279,JOUR,https://planner.langaracs.ca/courses/JOUR/2279,1
JOUR 2380,JOUR,https://planner.langaracs.ca/courses/JOUR/2380,1
FREN 1117,FREN,https://planner.langaracs.ca/courses/FREN/1117,2
French 11,HS Course,,1
FREN 1215,FREN,https://planner.langaracs.ca/courses/FREN/1215,2
APPL 5240,APPL,https://planner.langaracs.ca/courses/APPL/5240,2
APPL 5110,APPL,https://planner.langaracs.ca/courses/APPL/5110,5
APPL 5120,APPL,https://planner.langaracs.ca/courses/APPL/5120,5
APPL 5130,APPL,https://planner.langaracs.ca/courses/APPL/5130,5
APPL 5140,APPL,https://planner.langaracs.ca/courses/APPL/5140,5
APPL 5220,APPL,https://planner.langaracs.ca/courses/APPL/5220,2
APPL 5210,APPL,https://planner.langaracs.ca/courses/APPL/5210,2
APPL 5230,APPL,https://planner.langaracs.ca/courses/APPL/5230,2
ECED 2419,ECED,https://planner.langaracs.ca/courses/ECED/2419,0
ECED 2415,ECED,https://planner.langaracs.ca/courses/ECED/2415,3
ECED 2417,ECED,https://planner.langaracs.ca/courses/ECED/2417,2
ECED 2418,ECED,https://planner.langaracs.ca/courses/ECED/2418,1
PSYC 2318,PSYC,https://planner.langaracs.ca/courses/PSYC/2318,3
GEOG 2280,GEOG,https://planner.langaracs.ca/courses/GEOG/2280,0
GEOG 1180,GEOG,https://planner.langaracs.ca/courses/GEOG/1180,1
POLI 2260,POLI,https://planner.langaracs.ca/courses/POLI/2260,0
PHIL 2226,PHIL,https://planner.langaracs.ca/courses/PHIL/2226,1
POLI 1160,POLI,https://planner.langaracs.ca/courses/POLI/1160,4
BIOL 2450,BIOL,https://planner.langaracs.ca/courses/BIOL/2450,0
BIOL 1115,BIOL,https://planner.langaracs.ca/courses/BIOL/1115,5
BIOL 1215,BIOL,https://planner.langaracs.ca/courses/BIOL/1215,5
BIOL 2440,BIOL,https://planner.langaracs.ca/courses/BIOL/2440,0
PHOT 1110,PHOT,https://planner.langaracs.ca/courses/PHOT/1110,3
MATH 4801,MATH,https://planner.langaracs.ca/courses/MATH/4801,2
Data Analytics Mathematics Assessment (DAMA),Exam,,1
BIOL 2415,BIOL,https://planner.langaracs.ca/courses/BIOL/2415,0
PHOT 1120,PHOT,https://planner.langaracs.ca/courses/PHOT/1120,2
PHOT 1205,PHOT,https://planner.langaracs.ca/courses/PHOT/1205,4
PHOT 1210,PHOT,https://planner.langaracs.ca/courses/PHOT/1210,3
PHOT 1225,PHOT,https://planner.langaracs.ca/courses/PHOT/1225,3
FINA 2272,FINA,https://planner.langaracs.ca/courses/FINA/2272,0
FINA 2172,FINA,https://planner.langaracs.ca/courses/FINA/2172,2
DSGN 1256,DSGN,https://planner.langaracs.ca/courses/DSGN/1256,2
DSGN 1156,DSGN,https://planner.langaracs.ca/courses/DSGN/1156,1
FMGT 4828,FMGT,https://planner.langaracs.ca/courses/FMGT/4828,0
WMDD 4860,WMDD,https://planner.langaracs.ca/courses/WMDD/4860,1
FMGT 4810,FMGT,https://planner.langaracs.ca/courses/FMGT/4810,1
LIBR 2195,LIBR,https://planner.langaracs.ca/courses/LIBR/2195,0
LIBR 1120,LIBR,https://planner.langaracs.ca/courses/LIBR/1120,1
LIBR 2328,LIBR,https://planner.langaracs.ca/courses/LIBR/2328,2
NURS 5275,NURS,https://planner.langaracs.ca/courses/NURS/5275,1
NURS 5100,NURS,https://planner.langaracs.ca/courses/NURS/5100,3
NURS 5125,NURS,https://planner.langaracs.ca/courses/NURS/5125,3
NURS 5145,NURS,https://planner.langaracs.ca/courses/NURS/5145,3
NURS 5185,NURS,https://planner.langaracs.ca/courses/NURS/5185,1
POLI 2229,POLI,https://planner.langaracs.ca/courses/POLI/2229,0
POLI 1100,POLI,https://planner.langaracs.ca/courses/POLI/1100,5
POLI 2250,POLI,https://planner.langaracs.ca/courses/POLI/2250,3
FREN 1219,FREN,https://planner.langaracs.ca/courses/FREN/1219,0
FREN 1119,FREN,https://planner.langaracs.ca/courses/FREN/1119,1
CPSC 2810,CPSC,https://planner.langaracs.ca/courses/CPSC/2810,0
CPSC 1160,CPSC,https://planner.langaracs.ca/courses/CPSC/1160,5
CPSC 1181,CPSC,https://planner.langaracs.ca/courses/CPSC/1181,5
FMGT 4540,FMGT,https://planner.langaracs.ca/courses/FMGT/4540,0
FMGT 4225,FMGT,https://planner.langaracs.ca/courses/FMGT/4225,2
FMGT 4875,FMGT,https://planner.langaracs.ca/courses/FMGT/4875,1
FMGT 4510,FMGT,https://planner.langaracs.ca/courses/FMGT/4510,5
ECED 1219,ECED,https://planner.langaracs.ca/courses/ECED/1219,1
ECED 1119,ECED,https://planner.langaracs.ca/courses/ECED/1119,2
DSGN 1250,DSGN,https://planner.langaracs.ca/courses/DSGN/1250,3
STAT 4810,STAT,https://planner.langaracs.ca/courses/STAT/4810,0
STAT 4800,STAT,https://planner.langaracs.ca/courses/STAT/4800,3
FINA 1220,FINA,https://planner.langaracs.ca/courses/FINA/1220,1
GEOL 2207,GEOL,https://planner.langaracs.ca/courses/GEOL/2207,0
GEOG 1190,GEOG,https://planner.langaracs.ca/courses/GEOG/1190,2
GEOL 1107,GEOL,https://planner.langaracs.ca/courses/GEOL/1107,2
GEOL 1110,GEOL,https://planner.langaracs.ca/courses/GEOL/1110,2
GEOG 2290,GEOG,https://planner.langaracs.ca/courses/GEOG/2290,0
WMDD 4800,WMDD,https://planner.langaracs.ca/courses/WMDD/4800,2
WMDD 4815,WMDD,https://planner.langaracs.ca/courses/WMDD/4815,4
WMDD 4820,WMDD,https://planner.langaracs.ca/courses/WMDD/4820,4
WMDD 4825,WMDD,https://planner.langaracs.ca/courses/WMDD/4825,3
FMGT 4818,FMGT,https://planner.langaracs.ca/courses/FMGT/4818,1
PSYC 3210,PSYC,https://planner.langaracs.ca/courses/PSYC/3210,0
ECED 1218,ECED,https://planner.langaracs.ca/courses/ECED/1218,0
ECED 1118,ECED,https://planner.langaracs.ca/courses/ECED/1118,2
FMGT 4560,FMGT,https://planner.langaracs.ca/courses/FMGT/4560,0
FMGT 3121,FMGT,https://planner.langaracs.ca/courses/FMGT/3121,3
FMGT 4550,FMGT,https://planner.langaracs.ca/courses/FMGT/4550,0
RECR 1002,RECR,https://planner.langaracs.ca/courses/RECR/1002,0
RECR 1000,RECR,https://planner.langaracs.ca/courses/RECR/1000,1
RECR 1001,RECR,https://planner.langaracs.ca/courses/RECR/1001,1
FREN 1115,FREN,https://planner.langaracs.ca/courses/FREN/1115,2
ENVS 2410,ENVS,https://planner.langaracs.ca/courses/ENVS/2410,0
ENGL 1123,ENGL,https://planner.langaracs.ca/courses/ENGL/1123,5
ENGL 1127,ENGL,https://planner.langaracs.ca/courses/ENGL/1127,5
ENGL 1128,ENGL,https://planner.langaracs.ca/courses/ENGL/1128,5
FMGT 4860,FMGT,https://planner.langaracs.ca/courses/FMGT/4860,1
MATH 4800,MATH,https://planner.langaracs.ca/courses/MATH/4800,1
POLI 2209,POLI,https://planner.langaracs.ca/courses/POLI/2209,0
POLI 2219,POLI,https://planner.langaracs.ca/courses/POLI/2219,0
DSGN 1155,DSGN,https://planner.langaracs.ca/courses/DSGN/1155,1
CHIN 2213,CHIN,https://planner.langaracs.ca/courses/CHIN/2213,0
CHIN 2211,CHIN,https://planner.langaracs.ca/courses/CHIN/2211,1
JOUR 2420,JOUR,https://planner.langaracs.ca/courses/JOUR/2420,0
JOUR 1122,JOUR,https://planner.langaracs.ca/courses/JOUR/1122,3
JOUR 1128,JOUR,https://planner.langaracs.ca/courses/JOUR/1128,4
JOUR 1224,JOUR,https://planner.langaracs.ca/courses/JOUR/1224,1
JOUR 1244,JOUR,https://planner.langaracs.ca/courses/JOUR/1244,1
THEA 2360,THEA,https://planner.langaracs.ca/courses/THEA/2360,1
THEA 2260,THEA,https://planner.langaracs.ca/courses/THEA/2260,1
